ksurf-worker2-27aec434 CPU (m),Timestamp,ksurf-master1 CPU (m),ksurf-master1 Memory (MiB),ksurf-producer-aea9655c CPU (m),ksurf-producer-aea9655c Memory (MiB),ksurf-worker2-27aec434 Memory (MiB),ksurf-producer1-ede6efb4 CPU (m),ksurf-producer1-ede6efb4 Memory (MiB)
207,1734136253.0,765,3121,1031,2649,967,0,0
207,1734136255.0,765,3121,1031,2649,967,0,0
841,1734136258.0,778,3121,1112,2673,976,0,0
841,1734136260.0,778,3121,1112,2673,976,0,0
841,1734136262.0,778,3121,1112,2673,976,0,0
841,1734136264.0,778,3121,1112,2673,976,0,0
841,1734136266.0,778,3121,1112,2673,976,0,0
841,1734136269.0,778,3121,1112,2673,976,0,0
841,1734136271.0,778,3121,1112,2673,976,0,0
98,1734136273.0,760,3133,1461,3002,696,0,0
98,1734136275.0,760,3133,1461,3002,696,0,0
98,1734136277.0,760,3133,1461,3002,696,0,0
98,1734136279.0,760,3133,1461,3002,696,0,0
98,1734136282.0,760,3133,1461,3002,696,0,0
98,1734136284.0,760,3133,1461,3002,696,0,0
98,1734136286.0,760,3133,1461,3002,696,0,0
40,1734136288.0,764,3133,1514,2963,696,0,0
